Away Team,Away Spread,Home Spread,Home Team,Game Date,OVR,OFF,PASS,RUN,RECV,PBLK,RBLK,DEF,RDEF,TACK,PRSH,COV,OPP OVR,OPP OFF,OPP PASS,OPP RUN,OPP RECV,OPP PBLK,OPP RBLK,OPP DEF,OPP RDEF,OPP TACK,OPP PRSH,OPP COV
ATL,15.0,25.0,CAR,WEEK10,72.9,67.7,58.3,83.6,67.8,72.8,56.0,65.6,68.7,47.8,68.2,54.2,85.7,83.7,62.1,90.6,79.7,73.2,83.7,60.5,63.8,52.5,54.1,57.7
SEA,16.0,21.0,TB,WEEK10,77.0,71.8,75.8,63.8,72.3,75.0,53.9,67.6,57.8,53.0,64.3,80.7,80.8,75.9,74.1,90.0,77.7,64.2,57.8,64.7,62.0,45.0,65.1,63.5
MIN,33.0,30.0,BUF,WEEK10,86.6,78.8,84.1,91.8,77.7,64.1,50.7,72.1,54.4,40.8,78.8,80.1,92.5,81.6,77.3,79.4,82.0,66.6,74.5,81.1,85.4,85.5,75.2,71.3
DET,31.0,30.0,CHI,WEEK10,62.8,69.2,50.9,85.9,62.1,68.2,73.1,47.3,34.9,49.2,52.2,60.8,81.0,79.0,71.7,84.2,80.9,63.4,68.8,60.4,55.5,62.8,71.2,48.8
JAX,17.0,27.0,KC,WEEK10,93.2,85.5,90.0,79.3,83.1,73.6,72.5,79.3,63.6,52.9,75.3,89.8,80.6,71.8,73.8,89.4,70.5,72.8,47.0,71.8,70.3,35.7,76.5,62.2
NO,10.0,20.0,PIT,WEEK10,79.7,74.5,75.7,85.6,72.8,69.5,58.0,71.1,70.3,74.4,67.6,68.3,82.3,73.9,80.9,83.1,75.8,61.7,53.0,71.7,65.6,47.4,67.0,78.1
DEN,10.0,17.0,TEN,WEEK10,79.9,69.5,64.7,90.3,69.5,52.4,62.3,75.4,82.0,55.4,71.8,70.1,75.9,66.3,61.0,77.3,65.9,66.9,59.4,76.2,71.5,52.0,66.4,89.3
IND,25.0,20.0,LV,WEEK10,79.7,76.3,65.4,90.9,79.3,73.0,57.9,62.2,58.2,41.1,69.4,53.5,74.1,65.5,58.0,71.9,66.5,62.9,62.0,71.3,69.2,68.8,62.5,76.2
DAL,28.0,31.0,GB,WEEK10,81.4,76.3,76.9,91.5,70.3,77.6,55.9,67.4,53.1,57.6,71.5,77.7,85.4,75.2,64.9,88.0,75.8,69.6,63.0,75.1,60.7,83.2,84.5,79.2
LAC,16.0,22.0,SF,WEEK10,93.1,82.4,73.6,82.6,88.0,74.4,66.9,84.8,74.4,90.0,76.4,91.5,76.3,72.3,75.7,77.2,76.3,67.0,45.7,62.8,36.5,45.7,68.2,86.7
WAS,32.0,21.0,PHI,WEEK10,93.7,85.0,80.7,85.9,80.4,84.9,76.5,85.9,67.9,55.9,90.1,89.2,77.0,67.6,53.4,77.2,75.1,61.7,55.6,73.8,60.1,68.0,71.9,83.1
