Away Team,Away Spread,Home Spread,Home Team,Game Date,OVR,OFF,PASS,RUN,RECV,PBLK,RBLK,DEF,RDEF,TACK,PRSH,COV,OPP OVR,OPP OFF,OPP PASS,OPP RUN,OPP RECV,OPP PBLK,OPP RBLK,OPP DEF,OPP RDEF,OPP TACK,OPP PRSH,OPP COV
TEN,27.0,17.0,GB,WEEK11,81.4,76.3,76.9,91.5,70.3,77.6,55.9,67.4,53.1,57.6,71.5,77.7,79.9,69.5,64.7,90.3,69.5,52.4,62.3,75.4,82.0,55.4,71.8,70.1
CHI,24.0,27.0,ATL,WEEK11,85.7,83.7,62.1,90.6,79.7,73.2,83.7,60.5,63.8,52.5,54.1,57.7,62.8,69.2,50.9,85.9,62.1,68.2,73.1,47.3,34.9,49.2,52.2,60.8
PHI,17.0,16.0,IND,WEEK11,74.1,65.5,58.0,71.9,66.5,62.9,62.0,71.3,69.2,68.8,62.5,76.2,93.7,85.0,80.7,85.9,80.4,84.9,76.5,85.9,67.9,55.9,90.1,89.2
NYJ,3.0,10.0,NE,WEEK11,81.2,72.0,71.2,81.5,71.6,72.5,56.7,75.8,71.7,87.1,73.5,75.0,79.1,62.9,47.6,77.2,71.4,59.2,52.0,85.3,74.0,51.0,81.6,89.7
DET,31.0,18.0,NYG,WEEK11,68.6,69.8,65.7,90.0,68.4,62.0,60.9,54.5,41.7,71.7,68.8,53.3,81.0,79.0,71.7,84.2,80.9,63.4,68.8,60.4,55.5,62.8,71.2,48.8
LV,22.0,16.0,DEN,WEEK11,75.9,66.3,61.0,77.3,65.9,66.9,59.4,76.2,71.5,52.0,66.4,89.3,79.7,76.3,65.4,90.9,79.3,73.0,57.9,62.2,58.2,41.1,69.4,53.5
DAL,40.0,3.0,MIN,WEEK11,92.5,81.6,77.3,79.4,82.0,66.6,74.5,81.1,85.4,85.5,75.2,71.3,85.4,75.2,64.9,88.0,75.8,69.6,63.0,75.1,60.7,83.2,84.5,79.2
CIN,37.0,30.0,PIT,WEEK11,79.7,74.5,75.7,85.6,72.8,69.5,58.0,71.1,70.3,74.4,67.6,68.3,88.6,80.2,91.1,87.4,80.5,56.1,56.1,75.8,65.6,81.0,70.8,84.3
KC,30.0,27.0,LAC,WEEK11,76.3,72.3,75.7,77.2,76.3,67.0,45.7,62.8,36.5,45.7,68.2,86.7,93.2,85.5,90.0,79.3,83.1,73.6,72.5,79.3,63.6,52.9,75.3,89.8
