Away Team,Away Spread,Home Spread,Home Team,Game Date
BUF,28.0,25.0,DET,WEEK12
NYG,20.0,28.0,DAL,WEEK12
NE,26.0,33.0,MIN,WEEK12
DEN,10.0,23.0,CAR,WEEK12
TB,17.0,23.0,CLE,WEEK12
BAL,27.0,28.0,JAX,WEEK12
HOU,15.0,30.0,MIA,WEEK12
CHI,10.0,31.0,NYJ,WEEK12
CIN,20.0,16.0,TEN,WEEK12
ATL,13.0,19.0,WAS,WEEK12
LAC,25.0,24.0,ARI,WEEK12
LV,40.0,34.0,SEA,WEEK12
LA,10.0,26.0,KC,WEEK12
NO,0.0,13.0,SF,WEEK12
GB,33.0,40.0,PHI,WEEK12
PIT,24.0,17.0,IND,WEEK12
