Game Date,Home Team,Home Spread,Away Team,Away Spread,Overall Adv,Offense Adv,Passing Adv,Pass Block Adv,Receving Adv,Running Adv,Run Block Adv,Defense Adv,Run Defense Adv,Tackling Adv,Pass Rush Adv,Coverage Adv,Game Pick
WEEK18,PHI,22.0,NYG,16.0,25.10000000000001,30.5,19.650000000000006,16.10000000000001,27.10000000000001,44.2,34.8,16.10000000000001,-7.549999999999997,-23.300000000000004,26.249999999999993,24.0,PHI
WEEK18,LV,13.0,KC,31.0,-13.5,-3.0,-17.14999999999999,-2.299999999999997,-10.5,27.300000000000004,-5.700000000000003,-23.299999999999997,-17.700000000000003,-40.09999999999999,-12.399999999999991,-24.849999999999994,KC
WEEK18,CHI,13.0,MIN,29.0,-29.700000000000003,-11.899999999999991,-22.35,-7.0,-9.199999999999996,0.5,-12.300000000000011,-34.3,-42.050000000000004,-31.5,-19.749999999999986,-13.5,MIN
