Game Date,Home Team,Home Spread,Away Team,Away Spread,Overall Adv,Offense Adv,Passing Adv,Pass Block Adv,Receving Adv,Running Adv,Run Block Adv,Defense Adv,Run Defense Adv,Tackling Adv,Pass Rush Adv,Coverage Adv,Game Pick
WEEK11,NYG,18.0,DET,31.0,-12.400000000000006,9.399999999999999,5.700000000000003,-9.200000000000003,19.60000000000001,34.5,5.399999999999999,-24.5,-34.8,-10.850000000000009,1.25,-18.85000000000001,DET
WEEK11,LAC,27.0,KC,30.0,-16.900000000000006,-7.0,-6.849999999999994,-8.299999999999997,-13.5,13.600000000000001,-17.9,-22.700000000000003,-39.400000000000006,-35.499999999999986,-13.599999999999994,8.350000000000009,KC
WEEK11,IND,16.0,PHI,17.0,-19.60000000000001,-20.400000000000006,-31.650000000000006,-27.199999999999996,-22.700000000000003,4.0,-5.900000000000006,-13.700000000000003,-12.0,-14.350000000000009,-20.30000000000001,-6.450000000000003,PHI
